N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
776,679.0,410.0,2.5,15.2,21.5,620,2017.0,817.0,0.8310893512851897,1.0951612903225807,1.6560975609756097,1
777,1249.0,392.0,2.2,14.7,21.2,660,2017.0,685.6080000000001,1.8217407031423203,1.8924242424242423,3.186224489795918,1
778,1569.0,528.0,3.0,14.6,21.0,699,2017.0,919.8,1.705805609915199,2.244635193133047,2.971590909090909,1
779,439.0,152.0,0.8,14.8,21.0,200,2016.0,248.64000000000004,1.7656048906048902,2.195,2.888157894736842,0
780,499.0,128.0,0.7,14.8,21.0,180,2016.0,217.56,2.293620150763008,2.772222222222222,3.8984375,0
781,1199.0,368.0,2.8,15.3,24.0,560,2016.0,1028.1599999999999,1.1661609088079679,2.1410714285714287,3.2581521739130435,0
782,549.0,346.0,3.3,13.5,20.5,680,2015.0,913.275,0.6011332840601133,0.8073529411764706,1.5867052023121386,0
783,809.0,208.0,1.3,12.0,20.4,230,2015.0,318.24,2.542106586224233,3.517391304347826,3.889423076923077,1
784,389.0,512.0,2.2,11.5,18.5,419,2014.0,468.05,0.8311077876295268,0.9284009546539379,0.759765625,1
785,549.0,304.0,1.9,13.4,21.7,419,2014.0,552.482,0.9936975322272943,1.3102625298329356,1.805921052631579,1
786,599.0,336.0,1.9,14.6,21.8,449,2014.0,604.732,0.9905214210592461,1.334075723830735,1.7827380952380953,1
787,247.0,172.0,0.8,16.5,21.5,219,2013.0,283.8,0.8703312191684285,1.1278538812785388,1.436046511627907,0
788,809.0,640.0,3.0,12.0,20.5,560,2013.0,738.0,1.0962059620596205,1.4446428571428571,1.2640625,1
789,679.0,319.0,2.0,13.5,20.8,360,2013.0,561.6,1.209045584045584,1.886111111111111,2.128526645768025,1
790,156.0,256.0,1.4,11.5,20.5,239,2012.0,330.04999999999995,0.47265565823360106,0.6527196652719666,0.609375,1
791,519.0,336.0,1.8,13.4,20.5,380,2012.0,494.46000000000004,1.0496298992840674,1.3657894736842104,1.5446428571428572,1
792,374.0,220.0,2.0,14.5,20.5,310,2011.0,594.5,0.6291000841042893,1.206451612903226,1.7,1
793,368.0,288.0,1.7,13.0,17.0,264,2011.0,375.7,0.9795049241416024,1.393939393939394,1.2777777777777777,1
794,499.0,346.0,1.7,14.8,22.0,389,2011.0,553.52,0.9015031073854604,1.2827763496143958,1.4421965317919074,0
795,659.0,216.0,1.4,14.8,20.8,310,2011.0,430.976,1.5290874665874665,2.1258064516129034,3.050925925925926,1
796,759.0,720.0,3.5,17.4,24.5,1100,2008.0,1492.0499999999997,0.5086960892731478,0.69,1.0541666666666667,1
797,359.0,288.0,2.2,13.3,20.8,349,2021.0,608.6080000000002,0.5898706556601292,1.0286532951289398,1.2465277777777777,1
798,877.0,240.0,1.4,15.2,21.5,419,2021.0,457.5199999999999,1.916856093722679,2.0930787589498805,3.654166666666667,1
799,499.0,144.0,0.7,12.8,19.8,140,2024.0,177.408,2.812725468975469,3.5642857142857145,3.4652777777777777,0
