N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
1072,239.0,176.0,0.9,14.4,20.4,230,2017.0,264.384,0.9039881384652626,1.0391304347826087,1.3579545454545454,0
1073,259.0,336.0,1.7,13.5,20.5,360,2017.0,470.47499999999997,0.5505074658589724,0.7194444444444444,0.7708333333333334,1
1074,289.0,288.0,1.8,14.5,20.0,419,2017.0,522.0,0.553639846743295,0.6897374701670644,1.0034722222222223,0
1075,329.0,208.0,1.0,14.4,20.5,259,2017.0,295.2,1.11449864498645,1.2702702702702702,1.5817307692307692,1
1076,359.0,96.0,0.5,14.8,20.5,129,2017.0,151.70000000000002,2.3665128543177323,2.7829457364341086,3.7395833333333335,0
1077,245.0,256.0,1.5,14.0,20.0,310,2017.0,420.0,0.5833333333333334,0.7903225806451613,0.95703125,0
1078,379.0,208.0,1.5,13.5,20.9,300,2017.0,423.22499999999997,0.8955047551538781,1.2633333333333334,1.8221153846153846,1
1079,469.0,224.0,1.0,12.5,21.0,196,2017.0,262.5,1.7866666666666666,2.392857142857143,2.09375,1
1080,549.0,346.0,2.0,13.4,20.4,419,2017.0,546.72,1.0041703248463565,1.3102625298329356,1.5867052023121386,1
1081,488.0,320.0,2.4,13.0,20.5,310,2017.0,639.6,0.7629768605378361,1.5741935483870968,1.525,1
1082,599.0,208.0,1.3,13.8,20.7,270,2017.0,371.358,1.6129987774600252,2.2185185185185183,2.8798076923076925,1
1083,679.0,98.0,0.5,14.5,20.5,129,2017.0,148.625,4.5685449957947855,5.263565891472868,6.928571428571429,0
1084,809.0,192.0,1.4,15.5,21.9,460,2017.0,475.22999999999996,1.7023336068850874,1.758695652173913,4.213541666666667,1
1085,869.0,363.0,2.0,14.5,21.5,490,2017.0,623.5,1.3937449879711308,1.773469387755102,2.393939393939394,0
1086,889.0,496.0,4.0,17.0,23.7,1809,2017.0,1611.6,0.5516257135765699,0.49143173023770037,1.7923387096774193,1
1087,919.0,320.0,2.8,17.8,22.2,819,2017.0,1106.4479999999999,0.830585802495915,1.122100122100122,2.871875,1
1088,989.0,312.0,1.5,14.5,20.5,340,2017.0,445.875,2.2181104569666386,2.9088235294117646,3.1698717948717947,0
1089,1249.0,280.0,1.3,14.5,21.5,479,2017.0,405.27500000000003,3.0818579976559124,2.607515657620042,4.460714285714285,1
1090,1989.0,240.0,1.8,17.4,24.2,680,2017.0,757.9439999999998,2.6242044267122644,2.925,8.2875,1
1091,379.0,447.0,2.3,16.5,24.0,709,2016.0,910.8,0.4161176987263944,0.5345557122708039,0.8478747203579419,1
1092,469.0,288.0,1.3,12.0,18.0,180,2016.0,280.8,1.6702279202279202,2.6055555555555556,1.6284722222222223,0
1093,469.0,160.0,0.7,12.0,18.0,100,2016.0,151.2,3.101851851851852,4.69,2.93125,0
1094,469.0,346.0,1.4,14.8,21.8,330,2016.0,451.69599999999997,1.038308951152988,1.4212121212121211,1.3554913294797688,0
1095,549.0,416.0,2.3,14.1,20.2,490,2016.0,655.086,0.838057903847739,1.120408163265306,1.3197115384615385,0
1096,670.0,672.0,3.2,13.5,20.8,554,2016.0,898.5600000000001,0.7456374643874644,1.2093862815884477,0.9970238095238095,1
1097,869.0,384.0,3.5,13.4,19.3,439,2016.0,905.17,0.9600406553465095,1.979498861047836,2.2630208333333335,1
1098,1099.0,100.0,0.9,15.2,21.6,230,2016.0,295.488,3.719271171756552,4.778260869565218,10.99,1
1099,1309.0,358.0,1.9,14.5,20.5,430,2016.0,564.775,2.317737151963171,3.0441860465116277,3.6564245810055866,0
1100,1779.0,896.0,4.0,13.2,17.1,930,2016.0,902.88,1.970361509835194,1.9129032258064516,1.9854910714285714,1
1101,729.0,396.0,2.2,15.0,21.6,519,2015.0,712.8000000000001,1.0227272727272727,1.4046242774566473,1.8409090909090908,1
1102,809.0,128.0,0.9,28.5,25.0,769,2015.0,641.25,1.261598440545809,1.0520156046814044,6.3203125,1
1103,809.0,94.0,0.5,14.5,20.5,119,2015.0,148.625,5.44322960470984,6.798319327731092,8.606382978723405,0
1104,829.0,346.0,1.7,12.9,20.7,349,2015.0,453.95099999999996,1.8261882890444123,2.3753581661891117,2.3959537572254335,1
1105,889.0,368.0,2.3,15.3,21.0,479,2015.0,738.99,1.2029932746045278,1.8559498956158664,2.4157608695652173,1
1106,889.0,296.0,1.5,15.3,21.0,400,2015.0,481.95000000000005,1.8445896877269425,2.2225,3.0033783783783785,1
1107,1249.0,232.0,1.4,14.0,20.5,300,2015.0,401.79999999999995,3.108511697361872,4.163333333333333,5.383620689655173,0
1108,1309.0,288.0,2.0,12.7,20.7,250,2015.0,525.78,2.4896344478679295,5.236,4.545138888888889,1
1109,319.0,96.0,0.6,12.5,20.0,100,2014.0,150.0,2.1266666666666665,3.19,3.3229166666666665,0
1110,329.0,228.0,2.0,15.0,21.0,519,2014.0,630.0,0.5222222222222223,0.6339113680154143,1.4429824561403508,1
1111,379.0,352.0,2.2,13.5,20.6,449,2014.0,611.82,0.6194632408224641,0.844097995545657,1.0767045454545454,1
1112,317.0,672.0,3.4,13.5,20.5,610,2014.0,940.9499999999999,0.3368935650140815,0.519672131147541,0.47172619047619047,1
1113,368.0,352.0,1.8,13.0,20.5,360,2014.0,479.70000000000005,0.7671461329997915,1.0222222222222221,1.0454545454545454,1
1114,869.0,352.0,2.0,17.0,24.4,629,2014.0,829.5999999999999,1.047492767598843,1.381558028616852,2.46875,1
1115,369.0,232.0,1.2,16.4,21.5,340,2013.0,423.1199999999999,0.8720930232558142,1.0852941176470587,1.5905172413793103,0
1116,379.0,288.0,2.0,14.5,21.7,449,2013.0,629.3,0.6022564754489116,0.844097995545657,1.3159722222222223,1
1117,469.0,280.0,2.0,13.5,20.7,400,2013.0,558.9,0.8391483270710324,1.1725,1.675,1
1118,499.0,320.0,1.5,12.8,20.5,360,2013.0,393.6000000000001,1.2677845528455283,1.386111111111111,1.559375,1
1119,549.0,236.0,1.6,14.9,20.7,400,2013.0,493.48800000000006,1.1124890574846804,1.3725,2.3262711864406778,1
1120,1309.0,336.0,1.9,13.8,20.5,379,2013.0,537.51,2.4353035292366654,3.453825857519789,3.8958333333333335,0
1121,289.0,346.0,2.2,13.8,20.9,460,2012.0,634.524,0.45545952556562086,0.6282608695652174,0.8352601156069365,0
1122,1199.0,166.0,1.0,15.0,21.0,230,2012.0,315.0,3.806349206349206,5.21304347826087,7.22289156626506,0
1123,1459.0,1087.0,5.0,15.0,22.0,1200,2012.0,1650.0,0.8842424242424243,1.2158333333333333,1.342226310947562,1
1124,309.0,346.0,2.0,14.0,21.0,500,2011.0,588.0,0.5255102040816326,0.618,0.8930635838150289,0
1125,379.0,252.0,1.6,14.3,19.9,230,2011.0,455.312,0.8323962469691113,1.6478260869565218,1.503968253968254,0
1126,379.0,200.0,1.3,14.5,20.0,189,2011.0,377.0,1.0053050397877985,2.005291005291005,1.895,0
1127,759.0,240.0,1.6,12.7,17.2,280,2011.0,349.50399999999996,2.171648965390954,2.710714285714286,3.1625,1
1128,319.0,128.0,0.5,14.2,20.0,129,2010.0,142.0,2.2464788732394365,2.4728682170542635,2.4921875,0
1129,384.0,264.0,1.9,14.0,20.0,280,2010.0,532.0,0.7218045112781954,1.3714285714285714,1.4545454545454546,0
1130,458.0,576.0,3.8,15.0,22.0,819,2010.0,1254.0,0.3652312599681021,0.5592185592185592,0.7951388888888888,1
1131,1309.0,504.0,2.6,16.6,23.6,769,2010.0,1018.5760000000001,1.2851274720786665,1.7022106631989598,2.5972222222222223,1
1132,1309.0,424.0,2.2,16.7,23.8,680,2010.0,874.412,1.4970059880239521,1.925,3.0872641509433962,1
1133,299.0,192.0,0.7,12.5,20.0,119,2009.0,175.0,1.7085714285714286,2.5126050420168067,1.5572916666666667,0
1134,379.0,384.0,2.2,13.0,20.5,409,2009.0,586.3000000000001,0.6464267439877195,0.9266503667481663,0.9869791666666666,1
1135,439.0,346.0,2.4,15.0,22.0,589,2008.0,792.0,0.5542929292929293,0.7453310696095077,1.26878612716763,1
1136,309.0,346.0,0.5,14.0,20.4,100,2007.0,142.79999999999998,2.1638655462184877,3.09,0.8930635838150289,0
1137,219.0,144.0,1.3,21.5,14.5,280,2004.0,405.275,0.5403738202455123,0.7821428571428571,1.5208333333333333,1
1138,299.0,346.0,1.5,11.1,17.1,219,2004.0,284.715,1.0501729799975414,1.365296803652968,0.8641618497109826,1
1139,409.0,346.0,2.0,14.0,21.0,500,2021.0,588.0,0.6955782312925171,0.818,1.1820809248554913,0
1140,889.0,346.0,2.0,14.0,21.0,500,2021.0,588.0,1.5119047619047619,1.778,2.569364161849711,0
1141,969.0,346.0,2.0,14.0,21.0,500,2021.0,588.0,1.6479591836734695,1.938,2.800578034682081,0
1142,773.0,188.0,1.2,15.2,21.5,349,2021.0,392.15999999999997,1.9711342309261528,2.2148997134670485,4.111702127659575,1
1143,844.0,288.0,2.0,13.0,20.0,10,2021.0,520.0,1.623076923076923,84.4,2.9305555555555554,1
1144,1149.0,346.0,2.0,14.0,21.0,500,2021.0,588.0,1.9540816326530612,2.298,3.320809248554913,0
1145,1989.0,346.0,2.0,14.0,21.0,500,2021.0,588.0,3.38265306122449,3.978,5.7485549132947975,0
1150,590.0,198.0,1.5,14.6,21.6,340,2024.0,473.04,1.2472518180280736,1.7352941176470589,2.9797979797979797,1
